3,0,2185,0.14366010111112296,0.28806009307714164,0.28806009307714164
3,1,2248,0.08290151854602142,0.3454547762334943,0.3454547762334943
2,0,6505,0.00020731025733278794,0.08275891300696751,0.08275891300696758
2,1,6584,0.006075341256792467,0.12390177492774195,0.12390177492774196
4,0,6015,0.05762384923788382,0.22262616607441058,0.22262616607441055
4,1,6085,0.13766976522039828,0.3856547050783108,0.3856547050783106
1,1,19063,0.013272037742109964,0.1720575746404016,0.17205757464040178
1,0,19696,0.001358622047277234,0.09929686743718978,0.09929686743718968
5,0,18891,0.00003664037233030396,0.009618588761566427,0.009618588761566425
5,1,18176,0.0003887515290187352,0.018032976082055542,0.018032976082055542
